name,city,state,address,pincode,lat,lng,url,description,categories,tags
Sathanur Nook,Hubballi,Karnataka,"Sathanur, Ramanagara District",562126,12.4478,77.3171,https://projectdefy.org,A rural makerspace focused on experiential learning and vocational tinkering.,Makerspace,"project-defy, rural, free-entry"
Kashewadi Nook,Hubballi,Maharashtra,"Kashewadi, Pune",,18.5058,73.8706,https://projectdefy.org,Provides urban youth in marginalized areas a space for creative making.,Makerspace,"project-defy, youth, social-justice"
Katchipedu Nook,Hubballi,Tamil Nadu,"Katchipedu, Sriperumbudur",602105,12.9571,79.9473,https://projectdefy.org,A hub for technical tinkering and project building in a peri-urban context.,Makerspace,"project-defy, rural"
Makers Asylum,Hubballi,Goa,"House No 661, Mapusa-Moira Road, Moide",403507,15.5945,73.8394,https://makersasylum.com,"A globally recognized community makerspace and learning hub for innovation, prototyping, STEAM, and sustainable design. Artists, designers, engineers, and hobbyists build and share knowledge.",Makerspace,"sustainability, coworking"
Vigyan Ashram,Hubballi,Maharashtra,"Pabal, Pune District",412403,18.8308,74.052,https://vigyanashram.com,"A pioneer in rural innovation, focusing on engineering, energy, and agri-tech.",Makerspace,"rural, sustainability, stem"
THE Workshop,Hubballi,Karnataka,"HAL 2nd Stage, Indiranagar, Bengaluru",,12.9673,77.6433,https://the-workshop.in,A cross-disciplinary design research space for collaborative project-making.,Makerspace,
Fab Lab Kerala - Kochi,Hubballi,Kerala,"Integrated Startup Complex, Kinfra Hi-Tech Park, Kalamassery, Kochi",683503,10.0555,76.3547,https://fablabkerala.in,"Kerala Startup Mission fablab for advanced digital fabrication, prototyping, and entrepreneurship.",Makerspace,"fablab, government"
Collab House,Hubballi,Telangana,"Jubilee Hills, Hyderabad",,17.4326,78.4071,https://collab.house,"Blurs the lines between a makerspace, co-working, and community hub.",Makerspace,coworking
IKP-EDEN,Hubballi,Karnataka,"Koramangala, Bengaluru",,12.9352,77.6245,https://ikpeden.com,A hardware incubator and makerspace focusing on medical devices and engineering.,Innovation,
MakersBox,Hubballi,Delhi,"Multiple locations (Noida, Karnal)",,28.6139,77.2088,https://makersbox.in,Provides tools and mentorship for hands-on learning in STEM for all ages.,Makerspace,"stem, children"
FabLab CEPT,Hubballi,Gujarat,"FabLab CEPT, Workshop, CEPT University, University Road, Navrangpura, Ahmedabad",380009,23.0377,72.5497,https://fablab.cept.ac.in,"A digital fabrication lab hosted by CEPT that allows users to work for free if they bring materials. Serves makers, researchers, and creative thinkers.",Makerspace,"fablab, free-entry"
Heramb Maker Lab,Hubballi,Maharashtra,"Various locations, Mumbai",,18.9582,72.8321,https://herambmakerlab.com,A budget-friendly makerspace providing student-level access to 3D printers.,Makerspace,youth
T-Works,Hubballi,Telangana,"Plot 1/D, 1/E, 1/F, Survey No. 83/1, Raidurgam, Ranga Reddy District, Bhagyalaxmi Nagar, Hyderabad",500081,17.4363,78.3783,https://tworks.telangana.gov.in,"Government-backed open-for-all prototyping centre designed to reduce barriers to hardware building and support innovators, students, startups, and makers.",Makerspace,government
T-Hub,Hubballi,Telangana,"Plot No 1/C, Sy No 83/1, Raidurgam Panmaktha, Hyderabad Knowledge City, Serilingampally, Prashant Hills",500081,17.4214,78.3814,https://t-hub.co,"Large innovation hub for startups, open innovation, community events, and entrepreneurial ecosystem building.",Innovation,
Jaaga,Hubballi,Karnataka,Bengaluru,,12.9629,77.5775,https://jaaga.in,"Collaborative community platform working across arts research, public arts, tech-arts, and urban/community issues.","Arts, Innovation",
Bangalore Makespace,Hubballi,Karnataka,"Bengaluru, Karnataka (pop-up / distributed model)",,12.9629,77.5775,https://bangaloremakespace.org,"Community of makers running open workshops and activities around electronics, robotics, fabrication, and open-source creativity.",Makerspace,stem
The Makerspace Initiative,Hubballi,Telangana,Hyderabad,,17.4065,78.4772,https://themakerspaceinitiative.com,Community-oriented makerspace initiative for learning and making.,Makerspace,
FABLAB Kerala - Trivandrum,Hubballi,Kerala,"Kerala Startup Mission, Ground Floor, IIITM-K Building, Technopark Campus, Trivandrum, Karyavattom",695581,8.5566,76.882,https://fablabkerala.in,"Public-facing fabrication lab created with Kerala Startup Mission to support entrepreneurship, learning, and innovation.",Makerspace,"fablab, government"
FabLab Trichy,Hubballi,Tamil Nadu,"Government College of Engineering, Sethurappatti, Srirangam, Trichy, Sethurapatti",620012,10.6785,78.5996,https://forgeforward.in,"Fabrication lab and community innovation hub with workshops, training, and collaborative projects.",Makerspace,fablab
FabLab Nellai,Hubballi,Tamil Nadu,"Government College of Engineering, Trivandrum Road, Marshal Nagar, Tirunelveli",627007,8.6861,77.7258,https://forgeforward.in,"Community innovation lab for hands-on learning, prototyping, and local maker activity.",Makerspace,fablab
FabLab Noida,Hubballi,Uttar Pradesh,"C-56/47, Sector 62, Industrial Area, Noida",201307,28.6154,77.3623,https://fablabs.io/labs/rentechnologies01,Digital fabrication lab aimed at engineering students and community innovation in NCR.,Makerspace,fablab
FabLab Mohali,Hubballi,Punjab,New Chandigarh,140901,30.8088,76.7264,https://fablabs.io/labs/mohali,Part of the Fab Lab Chandigarh network; focused on hardware development and startup prototyping.,Makerspace,fablab
Fab Lab Chandigarh,Hubballi,Chandigarh,,,30.7333,76.7794,https://fablabs.io/labs/fablabchandigarh,Fab lab intended to expand access to digital-fabrication technologies across the northern region.,Makerspace,fablab
FabLab Nagpur,Hubballi,Maharashtra,"36, Atrey Layout, Pratap Nagar, Nagpur",440022,21.1149,79.0605,https://fablabnagpur.com,Community digital fabrication lab and coworking-style maker environment open to varied age groups.,Makerspace,"fablab, coworking"
FabLab Narmadalaya,Hubballi,Madhya Pradesh,"Vivekananda Institute of Rural Technology, Lepa Punarvas, Kasrawad, Khargone",451228,22.1209,75.6111,https://narmadalaya.org,"Rural fablab for tribal youth, local artisans, makers, and village-level problem solving.",Makerspace,"fablab, rural, craft"
Makerspace@CMRIT,Hubballi,Karnataka,"CMR Institute of Technology, 132 AECS Layout, ITPL Main Road, Kundalahalli, Brookefield, Bengaluru",560037,12.9676,77.7141,https://cmrit.ac.in/makerspace,"Large college-hosted makerspace with 3D printing, CNC, electronics, talks, hackathons, and makeathons.",Makerspace,youth
Fab Lab - AIC ADT Baramati Foundation,Hubballi,Maharashtra,"Post Box No. 35, Malegaon Colony, Sharadanagar, Baramati, Pune district",413115,18.1792,74.6078,https://aicadtbaramatifoundation.org/fablab,Public/open-access digital fabrication workshop welcoming everyone from children to entrepreneurs.,Makerspace,"fablab, children"
TinkerSpace,Hubballi,Kerala,"21/258, Seaport-Airport Rd, Vidya Nagar Colony, Kalamassery",682022,10.047,76.3352,https://tinkerhub.org/tinkerspace,"Kerala's first 24/7 public makerspace, a community-funded hub for hands-on learning and future technologies.",Makerspace,"free-entry, stem, youth"
Paper Crane Lab,Hubballi,Karnataka,"6th Cross, 10th Main, Indiranagar",560038,12.976,77.6384,https://pclprojects.wordpress.com,"A nonprofit STEM makerspace with 3D printers, laser cutters, and tools, open to the public via day passes.",Makerspace,"stem, children"
Hackerspace Mumbai,Hubballi,Maharashtra,"Bandra Kurla Complex, Bandra East",400051,19.0688,72.8703,https://hackmum.in,"Mumbai's largest open-source tech community, bringing together developers, designers, and makers for meetups, workshops, and hackathons.",Makerspace,
Somaiya RiiDL,Hubballi,Maharashtra,"Bhaskaracharya Building, Somaiya Vidyavihar, Vidyavihar East",400077,19.0745,72.9012,https://riidl.org,"A multidisciplinary innovation hub and FabLab offering open access to digital fabrication tools, a DIY bio lab, and startup incubation.",Innovation,"fablab, institutional"
Makerspace Belgaum,Hubballi,Karnataka,"RPD College Rd, Bhagya Nagar, Vadagoan, Belagavi",590006,15.8342,74.5069,https://makerspacebgm.in,"A community-driven makerspace offering hands-on learning through workshops in electronics, soldering, 3D modeling, coding, and open-source scientific instruments.",Makerspace,stem
Deshpande Startups,Hubballi,Karnataka,"Gokul Road, Gokul",580027,15.3542,75.0788,https://deshpandestartups.org,"A large startup incubation centre, offering co-working spaces, prototyping labs, mentorship, and seed funding on a 6-acre campus to support entrepreneurs in semi-urban India.",Innovation,coworking
