name,city,state,address,pincode,lat,lng,url,description,categories,tags
Nongwah Nook,Mawsynram,Meghalaya,"Nongwah Village, East Khasi Hills, Māwsynrām",793113,25.2973,91.5827,https://projectdefy.org,A self-designed learning centre for remote agricultural and fruit-farming communities.,"Education, Community","project-defy, rural, free-entry"
Sathanur Nook,Sathanur,Karnataka,"Sathanur, Ramanagara District",562126,12.4478,77.3171,https://projectdefy.org,A rural makerspace focused on experiential learning and vocational tinkering.,"Makerspace, Education","project-defy, rural, free-entry"
Wahlyngkhat Nook,Pynursla,Meghalaya,"Wahlyngkhat, East Khasi Hills",793110,25.3097,91.9036,https://projectdefy.org,"A community-led hub for creative projects, science, and traditional crafts.","Community, Education","project-defy, rural, craft, free-entry"
Kashewadi Nook,Pune,Maharashtra,"Kashewadi, Pune",,18.5058,73.8706,https://projectdefy.org,Provides urban youth in marginalized areas a space for creative making.,"Makerspace, Community","project-defy, youth, social-justice"
Katchipedu Nook,Sriperumbudur,Tamil Nadu,"Katchipedu, Sriperumbudur",602105,12.9571,79.9473,https://projectdefy.org,A hub for technical tinkering and project building in a peri-urban context.,"Makerspace, Education","project-defy, rural"
Loktantrashala — School For Democracy,Bhim,Rajasthan,Rajsamand District,305921,25.737,74.0771,https://fln.org.in,"A centre for democratic learning and constitutional literacy for rural citizens, providing political and social education for villagers.","Education, Community","rural, social-justice, free-entry"
1Shanthiroad Studio,Bengaluru,Karnataka,"1, Shanthiroad, Shanthinagar, Shanti Nagar, Bengaluru",560027,12.9606,77.5949,http://1shanthiroad.com,"An alternative art space providing residencies, mentorship, and workshops.","Arts, Culture",residency
Conflictorium,Ahmedabad,Gujarat,"Gool Lodge, Mirzapur, Bhadra, Ahmedabad",380001,23.0325,72.5837,http://www.conflictorium.org,A participatory museum addressing conflict and empathy through art and archives.,"Arts, Culture, Community","social-justice, heritage-building"
Khoj International Artists' Association,New Delhi,Delhi,"S-17, Khirkee Extension, Malviya Nagar, New Delhi",110017,28.5324,77.2215,https://khojstudios.org,"An autonomous non-profit contemporary arts organisation supporting experimental, interdisciplinary, and socially engaged art. The building includes exhibition spaces, studios, library, media lab, café, and terrace.","Arts, Community","residency, cafe, studios"
Sunaparanta Goa Centre for the Arts,Panaji,Goa,"63/C-8, Near Army House, Altinho, Panaji",403001,15.4905,73.8272,https://www.sgcfa.org,"A non-profit arts initiative with galleries, workshops, lectures, library, amphitheatre, and support for art students and exchange.","Arts, Culture, Education","outdoor-venue, free-entry"
Sarmaya Arts,Mumbai,Maharashtra,"Fort, Mumbai",,18.9345,72.8371,https://sarmaya.in,A repository of South Asian art and living traditions focused on education.,"Arts, Culture",
Method Gallery,Mumbai,Maharashtra,"Kala Ghoda, Fort, Mumbai",400001,18.9307,72.8331,https://the-method.in,"An art space hosting storytelling, poetry nights, and community dinners.","Arts, Community",literature
Underline Centre,Bengaluru,Karnataka,"Jayanagar, Bengaluru",,12.9308,77.5839,https://theunderline.in,"A multidisciplinary space for writing labs, poetry circles, and creative labs.","Arts, Culture",literature
Atta Galatta,Bengaluru,Karnataka,"Indiranagar, Bengaluru",,12.9784,77.6408,https://attagalatta.com,"A bookstore-turned-cultural-hub for literature, poetry, and theatre workshops.","Arts, Performing Arts, Library",literature
Pepper House,Kochi,Kerala,Fort Kochi,,9.9658,76.2421,https://pepperhouse.org,"A heritage waterfront cultural complex with studios, café, gallery, art library, residency, and exhibition space.","Arts, Culture, Library","heritage-building, residency, cafe, studios"
David Hall,Kochi,Kerala,"Parade Ground, Fort Kochi",682001,9.9649,76.2405,https://kochimuzirisbiennale.org,A restored bungalow hosting contemporary art and cultural performances.,"Arts, Culture",heritage-building
The Community Library Project,New Delhi,Delhi,"Multiple locations (Sikanderpur, Khirki), New Delhi",,28.6139,77.2088,https://tclp.org,"A free, community-led library movement serving the urban and rural poor.","Library, Education, Community","free-entry, social-justice"
Bansa Community Library,Bansa,Uttar Pradesh,"Bansa Village, Hardoi District",,27.0845,80.2154,https://fln.org.in,A rural library providing educational resources and a safe gathering space for villagers.,"Library, Community","rural, free-entry"
Akam Foundation,Various,Assam,Multiple locations in Assam,,26.2006,92.9376,https://fln.org.in,Focuses on capacity building and literacy in rural Assamese communities.,"Education, Library",rural
LECIN,New Delhi,Delhi,"Various communities, New Delhi",,28.6139,77.2088,https://lecinindia.org,A library initiative focused on early childhood education and grassroots literacy.,"Education, Library","children, free-entry"
Share A Book India,Various,Delhi,Pan-India,,28.6565,77.2333,https://shareabookindia.org,A foundation that sets up libraries in government schools and remote areas.,"Education, Library","rural, children, free-entry"
Adhvan,Mumbai,Maharashtra,"Childcare Institutions, Godrej Hillside Colony, Vikhroli West, Mumbai",400079,19.1112,72.9233,https://fln.org.in,Creates libraries and spaces for expression for young people in institutions.,"Library, Community","youth, social-justice"
Rafooghar,New Delhi,Delhi,"Shaheen Bagh, Jamia Nagar, Okhla, New Delhi",110025,28.5444,77.3018,https://ficart.org,A community space for marginalized women to gather and share stories through art.,"Arts, Community","women, social-justice"
Makers Asylum,Moira,Goa,"House No 661, Mapusa-Moira Road, Moide",403507,15.5945,73.8394,https://makersasylum.com,"A globally recognized community makerspace and learning hub for innovation, prototyping, STEAM, and sustainable design. Artists, designers, engineers, and hobbyists build and share knowledge.","Makerspace, Innovation, Community","sustainability, coworking"
Vigyan Ashram,Pabal,Maharashtra,"Pabal, Pune District",412403,18.8308,74.052,https://vigyanashram.com,"A pioneer in rural innovation, focusing on engineering, energy, and agri-tech.","Makerspace, Education","rural, sustainability, stem"
THE Workshop,Bengaluru,Karnataka,"HAL 2nd Stage, Indiranagar, Bengaluru",,12.9673,77.6433,https://the-workshop.in,A cross-disciplinary design research space for collaborative project-making.,"Makerspace, Innovation",
Fab Lab Kerala — Kochi,Kochi,Kerala,"Integrated Startup Complex, Kinfra Hi-Tech Park, Kalamassery, Kochi",683503,10.0555,76.3547,https://fablabkerala.in,"Kerala Startup Mission fablab for advanced digital fabrication, prototyping, and entrepreneurship.","Makerspace, Innovation","fablab, government"
Workbench Projects,Bengaluru,Karnataka,"Halasuru Metro Station, Gupta Layout, Bengaluru",560008,12.9764,77.6267,https://workbenchprojects.com,A co-working and prototyping space focused on hardware and public engineering.,"Makerspace, Innovation",coworking
Collab House,Hyderabad,Telangana,"Jubilee Hills, Hyderabad",,17.4326,78.4071,https://collab.house,"Blurs the lines between a makerspace, co-working, and community hub.","Makerspace, Innovation, Community",coworking
IKP-EDEN,Bengaluru,Karnataka,"Koramangala, Bengaluru",,12.9352,77.6245,https://ikpeden.com,A hardware incubator and makerspace focusing on medical devices and engineering.,"Makerspace, Innovation",
MakersBox,New Delhi,Delhi,"Multiple locations (Noida, Karnal)",,28.6139,77.2088,https://makersbox.in,Provides tools and mentorship for hands-on learning in STEM for all ages.,"Makerspace, Education","stem, children"
FabLab CEPT,Ahmedabad,Gujarat,"FabLab CEPT, Workshop, CEPT University, University Road, Navrangpura, Ahmedabad",380009,23.0377,72.5497,https://fablab.cept.ac.in,"A digital fabrication lab hosted by CEPT that allows users to work for free if they bring materials. Serves makers, researchers, and creative thinkers.","Makerspace, Innovation","fablab, free-entry"
Heramb Maker Lab,Mumbai,Maharashtra,"Various locations, Mumbai",,18.9582,72.8321,https://herambmakerlab.com,A budget-friendly makerspace providing student-level access to 3D printers.,"Makerspace, Education",youth
National Science Centre,New Delhi,Delhi,"Pragati Maidan, Bhairon Road, New Delhi",,28.6123,77.2466,https://nscdelhi.org,A premier national science centre featuring an Innovation Hub and major galleries.,"Science, Innovation","ncsm, government, stem"
Science Gallery Bengaluru,Bengaluru,Karnataka,"10–11, Bellary Road, Sanjaynagar, Dena Bank Colony, Bengaluru",560024,13.0205,77.5842,https://bengaluru.sciencegallery.com,"A free-entry public gallery where science, art, and research meet through exhibitions, mediation, and programmes.","Science, Arts","free-entry, stem"
Nehru Science Centre,Mumbai,Maharashtra,"Dr. E. Moses Road, Worli, रॉयल वेस्टर्न इंडिया टर्फ क्लब, Mumbai",400034,18.9803,72.8165,https://nehrusciencecentre.gov.in,India's largest interactive science centre with over 500 hands-on exhibits.,"Science, Education","ncsm, government, stem"
Visvesvaraya Industrial and Technological Museum,Bengaluru,Karnataka,"Kasturba Road, Bengaluru",560001,12.9719,77.5937,https://vismuseum.gov.in,A landmark national centre focused on industrial history and modern technological innovation.,"Science, Education","ncsm, government, stem"
Birla Industrial & Technological Museum,Kolkata,West Bengal,"19A, Gurusaday Road, Beck Bagan, Kolkata",700019,22.5352,88.3636,https://bitm.gov.in,"The first science museum in India, featuring a specialized Innovation Hub.","Science, Innovation","ncsm, government, stem"
Regional Science City,Lucknow,Uttar Pradesh,"Aliganj, Lucknow",,26.8984,80.9491,https://ncsm.gov.in,An expansive science park and innovation hub serving Northern India.,"Science, Innovation","ncsm, government, stem"
